,tweets,likes,time
162,@_T_A_G______ Good morning. Can you send us a direct message with your VIN? I would like to look into this parts concern you are having.,0,2021-06-15 13:04:21
163,@Money_Mags Good evening. Can you send us a direct message with your VIN? I would like to look into this brake concern you're having.,0,2021-06-14 21:18:40
164,"@opiejeanne @scalzi We're 117. You're Ford Family too, @opiejeanne. We'd love to see your 2003 Edge. 💪",7,2021-06-14 20:58:19
165,"@aftheaded We're glad, @aftheaded. 💪😎",1,2021-06-14 20:53:46
166,"@scalzi @opiejeanne We just know that good looks run in the Ford family, is all. 💯",20,2021-06-14 20:47:11
167,"@scalzi We’ve been proudly bringing families together since 1903...and we’ve got something for everyone, @scalzi. 💪",4,2021-06-14 20:42:13
168,@AngryBuddha2020 💪💪💪😎😎😎#BuiltFordTough,1,2021-06-14 20:30:07
169,"@scalzi We're more than besties, @scalzi. We're Ford family now.⚡️😎 #F150Lightning",77,2021-06-14 20:21:20
170,"@scalzi We see you, Krissy. Excited for you, @scalzi. Thanks for making a reservation! https://t.co/8VZwkoAm4z",107,2021-06-14 20:02:10
171,"@KDismusic Good afternoon. If you wouldn’t mind sending me over more information in a DM, I‘d be happy to investigate this situation for you.",0,2021-06-14 19:37:29
172,@MoormanChelsea Hi Chelsea. Could you please send us a DM with some more information regarding your situation? I would like to look into a few things on my end.,0,2021-06-14 19:09:35
173,"@Brady_Miller254 Good afternoon, Brady! If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",2,2021-06-14 18:29:33
174,"@LibertarianAR Hi there – send a message to us with your VIN and approximate mileage, along with some more details about your situation. I’ll look into this for you. Thanks!",4,2021-06-14 18:05:36
175,@RobotsPJs Good morning— Send Ford a DM with your VIN. I'll see what I can do to assist. Thank you!,0,2021-06-14 15:00:31
176,"The #FordMaverick customizable FlexBed system means you can haul whatever you need to haul, however you need to haul it. https://t.co/cFUPfEi4mj",394,2021-06-14 14:58:22
177,"@beluga_smile Good morning! If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-14 14:44:46
178,@hotrodwolf1989 Hi there. Could you please send us a DM with more information regarding the screen issue your Mach-E is experiencing? I would like to look into a few things on my end for you.,0,2021-06-14 13:47:55
179,@throwleather Good morning! Please send us a DM with more information about this issue with your Focus. I would like to look into a few things on my end for you.,0,2021-06-14 13:44:49
180,@laszlo_loszla Good morning. Would you mind sending us a DM explaining your concern? I can assist you more from there.,0,2021-06-14 13:28:14
181,"@Marissa_Moe Good morning, Marissa. Would you please send us a DM with more details about this situation? I would like to look into a few things on my end for you.",0,2021-06-14 13:24:52
182,@fchiki Hi there! Feel free to send us a message with your mother's VIN and mileage. I'll see what I can do to assist.,1,2021-06-14 13:24:37
183,"@zach_av Good morning, Zachary! Would you please send us a DM with more information about what is going on with your new Bronco Sport? I would certainly like to look into a few things on my end for you.",0,2021-06-14 13:19:20
184,"@DonnaPa17208851 Good morning, Donna! Please send us a DM with more information regarding this situation with your truck. I would like to look into a few things on my end for you.",0,2021-06-14 13:19:01
185,@Mustang_Klaus We were thinking James Bond as well!,1,2021-06-13 19:40:10
186,@Mustang_Klaus Keep us updated on what you decide! You can reserve one now with no deposit down https://t.co/1onvPRrt5O.,2,2021-06-13 16:20:08
187,"@D4N_J0NE5 100% agree! Thanks for the enthusiasm, Dan.",2,2021-06-13 07:25:14
188,"@souronion Good morning, Danny! Please send us a DM with more information regarding this situation with the battery in your new F-150. I would certainly like to look into a few things on my end for you.",1,2021-06-12 17:50:03
189,@MomSwipes Good morning! Please send us a DM with more information regarding this situation with mold in your vehicle. I would like to look into a few things on my end for you.,4,2021-06-12 15:17:11
190,"@katrinasims Good morning, Katrina! Please send us a DM with more information regarding this situation. I would like to look into a few things on my end for you.",1,2021-06-12 14:53:31
191,@joellee428 Good afternoon— Send Ford a DM with your VIN and current mileage. I'll see what I can do to assist. Thanks!,1,2021-06-11 20:28:50
192,@TruWrecksGaming Good morning. Can you send us a direct message. I would like to look into this reservation for you.,1,2021-06-11 19:49:11
193,"@thyfactor Hi Eric! If you want to send us a message as well, we'll look into things for you.",1,2021-06-11 18:05:41
194,"@RudyPenaIII Hi there – send a message to us with your VIN and approximate mileage, along with some more details about your situation. I’ll see what I can do to help. Thanks!",1,2021-06-11 17:30:51
195,"@beth_borderline Good morning, Beth! If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",1,2021-06-11 15:48:54
196,"@FloridaResiden3 Good morning! If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-11 14:49:32
197,"@_BigVince Good morning, Vince! Please send us a DM with more information regarding this situation with your truck. I would like to look into a few things on my end for you.",1,2021-06-11 13:49:44
198,@Gimmer Good morning. Can you send us a direct message with your VIN? I would like to look into this air conditioning concern a bit further.,0,2021-06-11 13:09:40
199,"@PhrozenFenix Hi there, Giordano. Will you send us a DM with your VIN? I can look into things on my end.",0,2021-06-10 20:17:55
