,tweets,likes,time
102,Is crypto a new asset class? Galaxy’s Michael Novogratz and NYU’s Nouriel Roubini discuss the path and obstacles to further institutional adoption on Exchanges at $GS: https://t.co/1VhMe7gQ8g https://t.co/QYXBOu532h,34,2021-06-01 20:32:55
103,$GS' Chief Diversity Officer Megan Hogan discusses the firm’s 12-week returnship program. https://t.co/iM8mskPv86,9,2021-06-01 19:17:14
104,We’re thrilled to be backing @collab_capital’s first fund through the work of our #LaunchWithGS program and One Million Black Women initiative–helping to invest in 50 Black-founded companies across the country. https://t.co/KyF0pVyOc5,42,2021-06-01 17:07:01
105,"“The only way you can develop your ideas is if you have a crowd, and it's that kind of conversation that is at the heart of every intellectual revolution.” - @Gladwell in a recent episode of #TalksAtGS with $GS' chief financial officer Stephen Scherr: https://t.co/B7UAYa9OlX https://t.co/rQCzSGfCDN",23,2021-06-01 15:00:21
106,"John F. Crowley, chairman and CEO of Amicus Therapeutics, shares his motivation for pursuing a career in developing treatments to cure Pompe disease in a #TalksAtGS: https://t.co/SpgjTJH7fq https://t.co/7RYpXisQ0I",17,2021-05-29 15:00:23
107,We’ve been listening &amp; learning to help shape our One Million Black Women initiative. We’re grateful for the collaboration from our partners and for the thousands of idea submissions. Take a look at our initial investments: https://t.co/LNXtN3qd3B #BlackWomenImpact https://t.co/JPNhokRWtS,17,2021-05-28 17:30:24
108,Watch $GS' chief Asia Pacific strategist Tim Moe explain why our view on Chinese equities goes against the grain. https://t.co/QVxrH4zKlR,16,2021-05-28 15:06:43
109,#ICYMI: $GS' Daphne Robbins explains why the shift to outdoor recreation is a long-term secular trend: https://t.co/rgaOcaV1lX https://t.co/TfrDJydbLu,6,2021-05-28 15:00:30
110,"“The pandemic hit, and of course, no industry took it on the chin like ours.” - President and CEO of @CruiseNorwegian, Frank Del Rio, in a recent episode of #TalksAtGS: https://t.co/gjnHm4nusv https://t.co/XaiURuubpJ",14,2021-05-28 13:00:18
111,RT @linkedinjapan: ゴールドマン・サックス証券 柳沢正和氏とリンクトイン村上が徹底議論「組織の競争力とLGBTQ+」LinkedIn News編集部LIVE! https://t.co/eoQL477vOi,0,2021-05-28 07:29:10
112,"Why are supplies of boats, bikes and RVs at all-time lows? $GS' Daphne Robbins explains in this episode of The Daily Check-In: https://t.co/p18loMig3q https://t.co/qSzFFyNbhF",11,2021-05-27 21:00:25
113,What are the big-picture risks for inflation? David Mericle of $GS Research and Josh Schiffrin of Global Markets explain the implications for economies and markets in the latest episode of Exchanges at Goldman Sachs: https://t.co/Tb7WvAZwon https://t.co/svwo1CCFKv,11,2021-05-27 17:00:08
114,"“It's a no brainer… you need diversity if you want to compete in the 21st century.” - @dambisamoyo, economist and author of ""How Boards Work,"" in a #TalksAtGS with $GS' president and COO John Waldron: https://t.co/61oVi44jck https://t.co/4K60eX0mFQ",8,2021-05-27 13:00:24
115,How do retailers think about the challenges of outsourcing same-day delivery to third-party providers? $GS' Kate McShane explains on this episode of The Daily Check-In: https://t.co/Xwu4PWF39G https://t.co/OMlDyK8rtS,9,2021-05-26 23:00:20
116,Watch $GS head of commodities research Jeff Currie discuss crypto assets and his outlook for oil on @CNBC: https://t.co/TQUU7EKU0x,19,2021-05-26 19:00:00
