,tweets,likes,time
95,"We’re celebrating our charity partner @TheSteveFund as part of our Lights on Broadway campaign. For #MentalHealthAwarenessMonth, learn more about the critical work they do promoting mental health for young people of color: https://t.co/iHHHi2OkDk https://t.co/u7dU5DFppI",14,2021-05-23 17:42:51
96,"While many investors see the recent jump in prices as transitory, we believe it’s much more than just a blip. Wealth Management Chief Investment Officer Lisa Shalett explains.
https://t.co/2CojPpb85R",9,2021-05-23 11:59:38
97,"Is your small business ready for a ransomware attack? Learn about prevention tips and recovery strategies. #cybersecurity #ransomware
https://t.co/0IjsjNKpEE",10,2021-05-22 19:00:04
98,"Amid a whirlwind year for streaming, Brian Roberts, Chairman and CEO of Comcast, sits down with Morgan Stanley to discuss competition, innovation and the shifting media landscape. https://t.co/NaViNTaXa1",11,2021-05-21 20:14:55
99,This was an easy one. We’re proud to have been Stock Symbols for $600 on @Jeopardy this week. #TournamentOfChampions https://t.co/bK9SRPfRPC,31,2021-05-21 19:00:01
100,"Today is the @unitednations’ World Day for Cultural Diversity for Dialogue and Development, head over to our Instagram Stories to see some of our many talented and diverse staff, from cities around the world, celebrate their cultures: https://t.co/vp6O77qz8D https://t.co/syuT981j07",7,2021-05-21 15:07:48
101,Follow the #MorganStanleyACMH nonprofit partners for their amazing resources and to further support their missions: https://t.co/nQB2grZDl6 (5/5),7,2021-05-20 18:44:31
102,"If you’re already involved with a nonprofit in the mental health space, apply to our Innovation Awards for a chance to fund an eligible children’s mental health project: https://t.co/JB4aTIv46q (4/5)",5,2021-05-20 18:43:37
103,"Give back to organizations that are looking to make a difference. Children’s mental health is massively underfunded, as Morgan Stanley’s Joan Steinberg explores with @InsidePhilanthr: https://t.co/7aERqDNf3k (3/5)",3,2021-05-20 18:42:53
104,Take action and find free resources at https://t.co/fJNGtyIMum (2/5),3,2021-05-20 18:41:38
105,We’re proud to participate as a partner for the first #MentalHealthAction Day. Take a moment today to take action on your own mental health and help those around you. Here’s a thread of ways you can take part ⬇️ (1/5) https://t.co/ehqK1EDmnW,33,2021-05-20 18:30:04
106,"Move over, crypto. Central banks are edging closer to introducing their own digital currencies. How much disruption could it bring to the financial system? https://t.co/rWDDrh84hG",20,2021-05-20 17:04:56
107,"Should you be bullish on the American consumer? Here are 5 reasons to boost your confidence from Jitania Kandhari, Head of Macroeconomic Research for the Global Emerging Markets Team and Co-Manager of the Active International Allocation Portfolio. https://t.co/jaGEVaTVON https://t.co/gBum9xtgTV",6,2021-05-20 14:44:07
108,"As co-chair of the firm’s Asian Employee Network, Executive Director Julie Chung works to make sure everyone has a voice. Learn more about our ongoing commitment to diversity, equity, and inclusion: https://t.co/bmQtdMhdWF #APAHM #AAPIHM https://t.co/vzLxpU9DWc",11,2021-05-20 14:33:31
109,"We’re proud to be the sponsor of this year’s Native Son Awards, honoring Black gay men who are mavericks, innovators, leaders, and visionaries. Learn more: https://t.co/wxjY9jK1Ov @nativesonnow https://t.co/Ueocx8YqXe",13,2021-05-19 19:05:03
110,"Ellen Zentner, Chief US Economist, joins @CNBC to discuss the impact of the latest economic data on her outlook for the recovery. Watch here: https://t.co/9JlfNnnWWq.",10,2021-05-19 12:00:00
111,"The Webby Award for Best Business Podcast goes to Access and Opportunity with @CarlaAnnHarris! Watch Carla’s #5WordSpeech below. Thank you for joining us for 7 seasons of stories, lightning rounds, and playbook points. Listen now: https://t.co/tgPF8iiOkb #Webbys @TheWebbyAwards https://t.co/8PxqwvuDmq",29,2021-05-18 20:00:13
112,"We want to empower charities like @BuildaNest to do the things they do best. Teams of Morgan Stanley employees will review a key issue they face and offer solutions as part of our 2021 Strategy Challenge. Find out more: https://t.co/R9HgyxPxn8
 #MSGivesBack https://t.co/j4lAdAOLWe",8,2021-05-17 21:11:57
113,Learn how companies are embracing #sustainability as an opportunity to drive higher public-market valuations: https://t.co/DNv51fYoeq https://t.co/npKp1jAw6X,9,2021-05-17 18:30:13
